"country","year","gold","silver","bronze","total"
"Estonia","2016","0","0","1","1"
"Estonia","2020","1","0","1","2"
"Estonia","2024","0","0","0","0"
"Estonia","Gesamt","3","3","7","13"
"Faroe Islands","1996","0","0","0","0"
"Faroe Islands","2000","0","0","0","0"
"Faroe Islands","2004","0","0","0","0"
"Faroe Islands","2008","0","0","0","0"
"Faroe Islands","2012","0","0","0","0"
"Faroe Islands","2016","0","0","0","0"
"Faroe Islands","2020","0","0","0","0"
"Faroe Islands","2024","0","0","0","0"
"Faroe Islands","Gesamt","0","0","0","0"
"Finland","1996","1","1","2","4"
"Finland","2000","2","1","1","4"
"Finland","2004","0","2","0","2"
"Finland","2008","1","1","2","4"
"Finland","2012","0","1","2","3"
"Finland","2016","0","0","1","1"
"Finland","2020","0","0","2","2"
"Finland","2024","0","0","0","0"
"Finland","Gesamt","4","6","10","20"
"France","1996","15","7","15","37"
"France","2000","13","14","11","38"
"France","2004","11","9","13","33"
"France","2008","7","16","19","42"
"France","2012","11","11","13","35"
"France","2016","10","18","14","42"
"France","2020","10","12","11","33"
"France","2024","16","26","22","64"
"France","Gesamt","94","113","118","325"
"Georgia","1996","0","0","2","2"
"Georgia","2000","0","0","6","6"
"Georgia","2004","2","2","0","4"
"Georgia","2008","3","2","2","7"
"Georgia","2012","1","2","3","6"
"Georgia","2016","2","1","4","7"
"Georgia","2020","2","5","1","8"
"Georgia","2024","3","3","1","7"
"Georgia","Gesamt","13","15","19","47"
"Germany","1996","20","18","27","65"
"Germany","2000","13","17","26","56"
"Germany","2004","13","16","20","49"
"Germany","2008","16","11","14","41"
"Germany","2012","11","20","13","44"
"Germany","2016","17","10","15","42"
"Germany","2020","10","11","16","37"
"Germany","2024","12","13","8","33"
"Germany","Gesamt","112","116","139","367"
"Gibraltar","1996","0","0","0","0"
"Gibraltar","2000","0","0","0","0"
"Gibraltar","2004","0","0","0","0"
"Gibraltar","2008","0","0","0","0"
"Gibraltar","2012","0","0","0","0"
"Gibraltar","2016","0","0","0","0"
"Gibraltar","2020","0","0","0","0"
"Gibraltar","2024","0","0","0","0"
"Gibraltar","Gesamt","0","0","0","0"
"Greece","1996","4","4","0","8"
"Greece","2000","4","6","3","13"
"Greece","2004","6","6","4","16"
"Greece","2008","0","2","1","3"
"Greece","2012","0","0","2","2"
"Greece","2016","3","1","2","6"
"Greece","2020","2","1","1","4"
"Greece","2024","1","1","6","8"
"Greece","Gesamt","20","21","19","60"
"Hungary","1996","7","4","10","21"
"Hungary","2000","8","6","3","17"
"Hungary","2004","8","6","3","17"
"Hungary","2008","3","5","2","10"
"Hungary","2012","8","4","6","18"
"Hungary","2016","8","3","4","15"
"Hungary","2020","6","7","7","20"
"Hungary","2024","6","7","6","19"
"Hungary","Gesamt","54","42","41","137"
"Iceland","1996","0","0","0","0"
"Iceland","2000","0","0","0","0"
"Iceland","2004","0","0","0","0"
"Iceland","2008","0","0","0","0"
"Iceland","2012","0","0","0","0"
"Iceland","2016","0","0","0","0"
"Iceland","2020","0","0","0","0"
"Iceland","2024","0","0","0","0"
"Iceland","Gesamt","0","0","0","0"
"Ireland","1996","3","0","1","4"
"Ireland","2000","0","1","0","1"
"Ireland","2004","0","0","0","0"
"Ireland","2008","0","1","2","3"
"Ireland","2012","1","1","4","6"
"Ireland","2016","0","2","0","2"
"Ireland","2020","2","0","2","4"
"Ireland","2024","4","0","3","7"
"Ireland","Gesamt","10","5","12","27"
"Israel","1996","0","0","1","1"
"Israel","2000","0","0","1","1"
"Israel","2004","1","0","1","2"
"Israel","2008","0","0","1","1"
"Israel","2012","0","0","0","0"
"Israel","2016","0","0","2","2"
"Israel","2020","2","0","2","4"
"Israel","2024","1","5","1","7"
"Israel","Gesamt","4","5","9","18"
"Italy","1996","13","10","12","35"
"Italy","2000","13","8","13","34"
"Italy","2004","10","11","11","32"
"Italy","2008","8","9","10","27"
"Italy","2012","8","9","11","28"
"Italy","2016","8","12","8","28"
"Italy","2020","10","10","20","40"
"Italy","2024","12","13","15","40"
"Italy","Gesamt","82","82","100","264"
"Kosovo","1996","0","0","0","0"
"Kosovo","2000","0","0","0","0"
"Kosovo","2004","0","0","0","0"
"Kosovo","2008","0","0","0","0"
"Kosovo","2012","0","0","0","0"
"Kosovo","2016","1","0","0","1"
"Kosovo","2020","2","0","0","2"
"Kosovo","2024","0","1","1","2"
"Kosovo","Gesamt","3","1","1","5"
"Latvia","1996","0","1","0","1"
"Latvia","2000","1","1","1","3"
"Latvia","2004","0","4","0","4"
"Latvia","2008","1","1","1","3"
"Latvia","2012","1","0","1","2"
"Latvia","2016","0","0","0","0"
"Latvia","2020","1","0","1","2"
"Latvia","2024","0","0","0","0"
"Latvia","Gesamt","4","7","4","15"
"Liechtenstein","1996","0","0","0","0"
"Liechtenstein","2000","0","0","0","0"
"Liechtenstein","2004","0","0","0","0"
"Liechtenstein","2008","0","0","0","0"
"Liechtenstein","2012","0","0","0","0"
"Liechtenstein","2016","0","0","0","0"
"Liechtenstein","2020","0","0","0","0"
"Liechtenstein","2024","0","0","0","0"
"Liechtenstein","Gesamt","0","0","0","0"
"Lithuania","1996","0","0","1","1"
"Lithuania","2000","2","0","3","5"
"Lithuania","2004","1","2","0","3"
"Lithuania","2008","0","3","2","5"
"Lithuania","2012","2","1","3","6"
"Lithuania","2016","0","1","3","4"
"Lithuania","2020","0","1","0","1"
"Lithuania","2024","0","2","2","4"
"Lithuania","Gesamt","5","10","14","29"
"Luxembourg","1996","0","0","0","0"
"Luxembourg","2000","0","0","0","0"
"Luxembourg","2004","0","0","0","0"
"Luxembourg","2008","0","0","0","0"
"Luxembourg","2012","0","0","0","0"
"Luxembourg","2016","0","0","0","0"
"Luxembourg","2020","0","0","0","0"
"Luxembourg","2024","0","0","0","0"
"Luxembourg","Gesamt","0","0","0","0"
"Malta","1996","0","0","0","0"
"Malta","2000","0","0","0","0"
"Malta","2004","0","0","0","0"
"Malta","2008","0","0","0","0"
"Malta","2012","0","0","0","0"
"Malta","2016","0","0","0","0"
"Malta","2020","0","0","0","0"
"Malta","2024","0","0","0","0"
"Malta","Gesamt","0","0","0","0"
"Moldova","1996","0","1","1","2"
"Moldova","2000","0","1","1","2"
"Moldova","2004","0","0","0","0"
"Moldova","2008","0","0","1","1"
"Moldova","2012","0","0","0","0"
"Moldova","2016","0","0","0","0"
"Moldova","2020","0","0","1","1"
"Moldova","2024","0","1","3","4"
"Moldova","Gesamt","0","3","7","10"
"Monaco","1996","0","0","0","0"
"Monaco","2000","0","0","0","0"
"Monaco","2004","0","0","0","0"
"Monaco","2008","0","0","0","0"
"Monaco","2012","0","0","0","0"
"Monaco","2016","0","0","0","0"
"Monaco","2020","0","0","0","0"
"Monaco","2024","0","0","0","0"
"Monaco","Gesamt","0","0","0","0"
"Montenegro","1996","0","0","0","0"
"Montenegro","2000","0","0","0","0"
"Montenegro","2004","0","0","0","0"
"Montenegro","2008","0","0","0","0"
"Montenegro","2012","0","0","0","0"
"Montenegro","2016","0","0","0","0"
"Montenegro","2020","0","0","0","0"
"Montenegro","2024","0","0","0","0"
"Montenegro","Gesamt","0","0","0","0"
"Netherlands","1996","4","5","10","19"
"Netherlands","2000","12","9","4","25"
"Netherlands","2004","4","9","9","22"
"Netherlands","2008","7","5","4","16"
"Netherlands","2012","6","6","8","20"
"Netherlands","2016","8","7","4","19"
"Netherlands","2020","10","12","14","36"
"Netherlands","2024","15","7","12","34"
"Netherlands","Gesamt","66","60","65","191"
"North Macedonia","1996","0","0","0","0"
"North Macedonia","2000","0","0","1","1"
"North Macedonia","2004","0","0","0","0"
"North Macedonia","2008","0","0","0","0"
"North Macedonia","2012","0","0","0","0"
"North Macedonia","2016","0","0","0","0"
"North Macedonia","2020","0","1","0","1"
"North Macedonia","2024","0","0","0","0"
"North Macedonia","Gesamt","0","1","1","2"
"Norway","1996","2","2","3","7"
"Norway","2000","4","3","3","10"
"Norway","2004","5","0","1","6"
"Norway","2008","3","5","1","9"
"Norway","2012","2","1","1","4"
"Norway","2016","0","0","4","4"
"Norway","2020","4","2","2","8"
"Norway","2024","4","1","3","8"
"Norway","Gesamt","24","14","18","56"
"Poland","1996","7","5","5","17"
"Poland","2000","6","5","3","14"
"Poland","2004","3","2","5","10"
"Poland","2008","4","5","2","11"
"Poland","2012","3","2","6","11"
"Poland","2016","2","4","5","11"
"Poland","2020","4","5","5","14"
"Poland","2024","1","4","5","10"
"Poland","Gesamt","30","37","36","103"
"Portugal","1996","1","0","1","2"
"Portugal","2000","0","0","2","2"
"Portugal","2004","0","2","1","3"
"Portugal","2008","1","1","0","2"
"Portugal","2012","0","1","0","1"
"Portugal","2016","0","0","1","1"
"Portugal","2020","1","1","2","4"
"Portugal","2024","1","2","1","4"
"Portugal","Gesamt","4","7","8","19"
"Romania","1996","4","7","9","20"
"Romania","2000","11","6","9","26"
"Romania","2004","8","5","6","19"
"Romania","2008","4","1","4","9"
"Romania","2012","2","4","1","7"
"Romania","2016","1","1","2","4"
"Romania","2020","1","3","0","4"
"Romania","2024","3","4","2","9"
"Romania","Gesamt","34","31","33","98"
"Russia","1996","26","21","16","63"
"Russia","2000","32","28","29","89"
"Russia","2004","28","26","36","90"
"Russia","2008","23","21","28","72"
"Russia","2012","24","26","32","82"
"Russia","2016","19","17","20","56"
"Russia","2020","20","28","23","71"
"Russia","2024","17","19","22","58"
"Russia","Gesamt","189","186","206","581"
"San Marino","1996","0","0","0","0"
"San Marino","2000","0","0","0","0"
"San Marino","2004","0","0","0","0"
"San Marino","2008","0","0","0","0"
"San Marino","2012","0","0","0","0"
"San Marino","2016","0","0","0","0"
"San Marino","2020","0","1","2","3"
"San Marino","2024","0","0","0","0"
"San Marino","Gesamt","0","1","2","3"
"Serbia","1996","0","0","0","0"
"Serbia","2000","0","0","0","0"
"Serbia","2004","0","0","0","0"
"Serbia","2008","0","1","2","3"
"Serbia","2012","1","1","2","4"
"Serbia","2016","2","4","2","8"
"Serbia","2020","3","1","5","9"
"Serbia","2024","3","1","3","7"
"Serbia","Gesamt","9","8","14","31"
"Slovakia","1996","1","1","0","2"
"Slovakia","2000","1","3","1","5"
"Slovakia","2004","2","2","0","4"
"Slovakia","2008","3","2","1","6"
"Slovakia","2012","0","1","3","4"
"Slovakia","2016","2","2","0","4"
"Slovakia","2020","1","2","1","4"
"Slovakia","2024","1","0","1","2"
"Slovakia","Gesamt","11","13","7","31"
"Slovenia","1996","0","0","0","0"
"Slovenia","2000","0","0","0","0"
"Slovenia","2004","0","0","0","0"
"Slovenia","2008","1","2","2","5"
"Slovenia","2012","1","1","2","4"
"Slovenia","2016","1","2","1","4"
"Slovenia","2020","3","1","0","4"
"Slovenia","2024","2","1","2","5"
"Slovenia","Gesamt","8","7","7","22"
"Spain","1996","5","6","6","17"
"Spain","2000","3","3","5","11"
"Spain","2004","3","11","6","20"
"Spain","2008","5","10","3","18"
"Spain","2012","3","10","4","17"
"Spain","2016","7","4","6","17"
"Spain","2020","3","8","6","17"
"Spain","2024","5","4","7","16"
"Spain","Gesamt","34","56","43","133"
"Sweden","1996","2","4","2","8"
"Sweden","2000","4","2","2","8"
"Sweden","2004","4","2","1","7"
"Sweden","2008","0","4","1","5"
"Sweden","2012","1","4","3","8"
"Sweden","2016","2","6","3","11"
"Sweden","2020","3","6","0","9"
"Sweden","2024","3","3","4","10"
"Sweden","Gesamt","19","31","16","66"
"Switzerland","1996","4","3","2","9"
"Switzerland","2000","1","0","2","3"
"Switzerland","2004","1","1","3","5"
"Switzerland","2008","2","1","4","7"
"Switzerland","2012","2","2","0","4"
"Switzerland","2016","3","2","2","7"
"Switzerland","2020","3","4","6","13"
"Switzerland","2024","4","3","5","12"
"Switzerland","Gesamt","20","16","24","60"
"Turkey","1996","3","1","1","5"
"Turkey","2000","3","0","2","5"
"Turkey","2004","3","3","4","10"
"Turkey","2008","1","4","3","8"
"Turkey","2012","2","2","1","5"
"Turkey","2016","1","3","4","8"
"Turkey","2020","2","2","9","13"
"Turkey","2024","2","3","5","10"
"Turkey","Gesamt","17","18","29","64"
"Ukraine","1996","9","2","12","23"
"Ukraine","2000","3","10","10","23"
"Ukraine","2004","9","5","9","23"
"Ukraine","2008","7","5","15","27"
"Ukraine","2012","6","5","12","23"
"Ukraine","2016","2","5","4","11"
"Ukraine","2020","1","6","12","19"
"Ukraine","2024","3","4","6","13"
"Ukraine","Gesamt","40","42","80","162"
"United Kingdom","1996","1","8","6","15"
"United Kingdom","2000","11","10","7","28"
"United Kingdom","2004","9","9","12","30"
"United Kingdom","2008","19","13","15","47"
"United Kingdom","2012","29","17","19","65"
"United Kingdom","2016","27","23","17","67"
"United Kingdom","2020","22","21","22","65"
"United Kingdom","2024","13","18","17","48"
"United Kingdom","Gesamt","131","119","115","365"
"Vatican City","1996","0","0","0","0"
"Vatican City","2000","0","0","0","0"
"Vatican City","2004","0","0","0","0"
"Vatican City","2008","0","0","0","0"
"Vatican City","2012","0","0","0","0"
"Vatican City","2016","0","0","0","0"
"Vatican City","2020","0","0","0","0"
"Vatican City","2024","0","0","0","0"
"Vatican City","Gesamt","0","0","0","0"
